model,idk,gdl,srl_args,coarse_first,thresh,P,R,F
bert-l,True,True,all,False,0.985,0.05556226597415147,0.10167992926613616,0.07185815824416152
bert-l,True,True,all,False,0.99,0.05407947331295556,0.1003928415539066,0.07029339853300734
bert-l,True,True,all,False,0.995,0.0,0.0,0.0
bert-l,True,True,all,True,0.985,0.0,0.0,0.0
bert-l,True,True,all,True,0.99,0.0,0.0,0.0
bert-l,True,True,all,True,0.995,0.0,0.0,0.0
bert-l,True,True,['V'],False,0.985,0.0,0.0,0.0
bert-l,True,True,['V'],False,0.99,0.0,0.0,0.0
bert-l,True,True,['V'],False,0.995,0.0,0.0,0.0
bert-l,True,True,['V'],True,0.985,0.0,0.0,0.0
bert-l,True,True,['V'],True,0.99,0.0,0.0,0.0
bert-l,True,True,['V'],True,0.995,0.0,0.0,0.0
bert-l,True,True,"['V', 'ARG0', 'ARG1']",False,0.985,0.0,0.0,0.0
bert-l,True,True,"['V', 'ARG0', 'ARG1']",False,0.99,0.0,0.0,0.0
bert-l,True,True,"['V', 'ARG0', 'ARG1']",False,0.995,0.0,0.0,0.0
bert-l,True,True,"['V', 'ARG0', 'ARG1']",True,0.985,0.0,0.0,0.0
bert-l,True,True,"['V', 'ARG0', 'ARG1']",True,0.99,0.0,0.0,0.0
bert-l,True,True,"['V', 'ARG0', 'ARG1']",True,0.995,0.0,0.0,0.0
bert-l,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.985,0.0,0.0,0.0
bert-l,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.99,0.0,0.0,0.0
bert-l,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.995,0.0,0.0,0.0
bert-l,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.985,0.0,0.0,0.0
bert-l,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.99,0.0,0.0,0.0
bert-l,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.995,0.0,0.0,0.0
bert-l,True,True,"['V', 'ARG0']",False,0.985,0.0,0.0,0.0
bert-l,True,True,"['V', 'ARG0']",False,0.99,0.0,0.0,0.0
bert-l,True,True,"['V', 'ARG0']",False,0.995,0.0,0.0,0.0
bert-l,True,True,"['V', 'ARG0']",True,0.985,0.0001762114537444934,0.000689655172413793,0.00028070175438596495
bert-l,True,True,"['V', 'ARG0']",True,0.99,0.00033886818027787193,0.001326259946949602,0.0005398110661268557
bert-l,True,True,"['V', 'ARG0']",True,0.995,0.0004894762604013706,0.0019157088122605363,0.0007797270955165693
bert-l,True,True,"['V', 'ARG1']",False,0.985,0.0004719949653870359,0.0018472906403940886,0.0007518796992481203
bert-l,True,True,"['V', 'ARG1']",False,0.99,0.00045571927692541396,0.0017835909631391202,0.0007259528130671507
bert-l,True,True,"['V', 'ARG1']",False,0.995,0.0004405286343612335,0.0017241379310344827,0.0007017543859649122
bert-l,True,True,"['V', 'ARG1']",True,0.985,0.0005684240443370755,0.002224694104560623,0.0009054895302773062
bert-l,True,True,"['V', 'ARG1']",True,0.99,0.0006883259911894273,0.0026939655172413795,0.0010964912280701756
bert-l,True,True,"['V', 'ARG1']",True,0.995,0.0008009611533840609,0.003134796238244514,0.0012759170653907496
roberta,False,False,"['V', 'ARG0']",True,0.985,0.0009302325581395349,0.0035496957403651115,0.0014741497314941562
roberta,False,False,"['V', 'ARG0']",True,0.99,0.0010622759261718232,0.003940886699507389,0.001673465118711432
