model,idk,gdl,srl_args,coarse_first,thresh,P,R,F
bert-l,True,False,"['V', 'ARG0']",False,0.985,0.245676500508647,0.5047021943573667,0.33048238111529255
bert-l,True,False,"['V', 'ARG0']",False,0.99,0.24531645569620253,0.49871332990221307,0.32886475479382316
bert-l,True,False,"['V', 'ARG0']",False,0.995,0.24519473950429943,0.49163286004056794,0.3272021599730003
bert-l,True,False,"['V', 'ARG0']",True,0.985,0.2449211356466877,0.48500749625187406,0.3254800033537352
bert-l,True,False,"['V', 'ARG0']",True,0.99,0.24480282222502206,0.4785714285714286,0.32391431191131115
bert-l,True,False,"['V', 'ARG0']",True,0.995,0.24486711172691775,0.4720738222438077,0.32246827569047026
bert-l,True,False,"['V', 'ARG1']",False,0.985,0.24480080180405914,0.467911877394636,0.32143444645500907
bert-l,True,False,"['V', 'ARG1']",False,0.99,0.24475786320519222,0.4631554085970713,0.3202678425608362
bert-l,True,False,"['V', 'ARG1']",False,0.995,0.24448323151726717,0.45689655172413796,0.31852513603508487
bert-l,True,False,"['V', 'ARG1']",True,0.985,0.24418460007463616,0.45126436781609197,0.316894018887723
bert-l,True,False,"['V', 'ARG1']",True,0.99,0.24409937888198757,0.44578039927404717,0.3154599454165998
bert-l,True,False,"['V', 'ARG1']",True,0.995,0.2440387481371088,0.4399910434393193,0.31394791500239655
bert-l,True,True,all,False,0.985,0.2439908201473608,0.4465075154730327,0.3155510427243614
bert-l,True,True,all,False,0.99,0.24394545027039738,0.45285901353120905,0.31708435207823965
bert-l,True,True,all,False,0.995,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,all,True,0.985,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,all,True,0.99,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,all,True,0.995,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,['V'],False,0.985,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,['V'],False,0.99,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,['V'],False,0.995,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,['V'],True,0.985,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,['V'],True,0.99,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,['V'],True,0.995,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG0', 'ARG1']",False,0.985,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG0', 'ARG1']",False,0.99,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG0', 'ARG1']",False,0.995,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG0', 'ARG1']",True,0.985,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG0', 'ARG1']",True,0.99,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG0', 'ARG1']",True,0.995,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.985,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.99,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.995,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.985,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.99,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.995,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG0']",False,0.985,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG0']",False,0.99,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG0']",False,0.995,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG0']",True,0.985,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG0']",True,0.99,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG0']",True,0.995,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG1']",False,0.985,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG1']",False,0.99,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG1']",False,0.995,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG1']",True,0.985,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG1']",True,0.99,0.2422907488986784,0.9482758620689655,0.38596491228070173
bert-l,True,True,"['V', 'ARG1']",True,0.995,0.2422907488986784,0.9482758620689655,0.38596491228070173
roberta,False,False,"['V', 'ARG0']",True,0.985,0.2423920265780731,0.9249492900608519,0.3841213014636201
roberta,False,False,"['V', 'ARG0']",True,0.99,0.24233169565794715,0.8990147783251231,0.3817592302060454
